rideable_type,day_of_week,month,season,trip_duration_mins,hour,trips,day_of_month
0,2,11,3,25,17,1,21
1,0,9,3,135,9,1,3
1,4,7,2,13,9,6,20
1,2,7,2,6,11,7,11
0,0,9,3,55,10,2,3
1,3,10,3,33,12,2,11
1,5,6,2,32,5,1,9
0,2,7,2,4,17,17,25
0,0,12,0,12,13,6,24
1,5,9,3,38,15,2,8
0,2,4,1,11,20,2,25
0,1,5,1,112,12,1,22
0,3,5,1,23,0,1,24
1,5,11,3,35,16,4,17
1,1,7,2,13,1,2,24
0,1,5,1,38,16,1,15
1,3,8,2,32,16,2,30
0,3,7,2,22,5,3,26
0,4,8,2,5,4,1,17
1,0,1,0,16,19,2,22
0,6,10,3,3,20,18,14
0,0,6,2,36,18,3,18
1,0,7,2,36,9,1,23
0,1,4,1,14,7,1,3
1,5,9,3,3,5,1,15
0,1,12,0,15,7,1,25
1,6,7,2,24,21,2,22
0,3,8,2,14,4,1,16
1,6,6,2,3,7,11,24
1,6,6,2,25,19,7,10
1,4,1,0,21,7,4,5
0,5,11,3,87,22,1,24
0,1,5,1,5,10,15,1
1,6,5,1,28,20,2,6
0,6,9,3,54,12,1,2
1,3,6,2,27,14,1,14
0,4,9,3,12,20,13,7
0,2,9,3,16,16,14,26
0,4,1,0,27,18,1,19
0,4,8,2,140,11,1,10
0,0,10,3,11,3,2,1
1,2,5,1,17,11,4,30
1,0,9,3,28,18,2,17
1,5,6,2,25,22,1,16
1,4,4,1,8,21,5,20
1,0,9,3,2,21,2,24
1,4,1,0,15,7,2,5
0,1,10,3,26,14,2,23
0,2,3,1,8,16,7,14
1,0,7,2,47,20,1,9
0,6,4,1,55,15,1,15
1,2,7,2,23,11,4,25
0,1,3,1,29,15,1,6
0,3,2,0,10,23,1,8
0,0,9,3,16,19,5,3
1,2,8,2,36,10,3,8
0,1,4,1,27,15,1,17
1,6,7,2,41,19,4,29
1,0,9,3,50,6,1,24
0,1,5,1,61,10,2,29
1,2,3,1,26,18,6,21
1,4,12,0,18,17,5,21
0,5,7,2,21,16,6,14
0,6,7,2,30,22,5,8
1,3,7,2,16,8,5,5
1,2,5,1,34,17,7,30
0,2,12,0,5,20,2,19
0,0,7,2,37,23,2,2
0,4,7,2,28,8,2,6
1,0,4,1,6,6,3,30
1,0,12,0,32,14,1,3
1,0,8,2,15,13,20,13
0,4,9,3,49,4,1,28
1,4,3,1,18,23,1,23
0,4,8,2,6,13,14,17
0,6,4,1,30,15,2,8
1,2,8,2,24,16,11,8
1,4,5,1,40,7,1,25
0,3,10,3,31,17,3,25
1,6,7,2,49,13,4,29
0,6,6,2,42,9,1,10
1,3,5,1,4,16,39,10
1,2,12,0,14,10,3,5
1,0,3,1,16,12,3,12
0,6,9,3,43,13,2,9
0,0,1,0,19,16,3,15
0,6,12,0,13,13,1,2
1,1,7,2,90,15,1,31
1,4,8,2,45,17,1,17
0,6,7,2,121,12,1,1
1,1,9,3,19,5,2,18
1,0,8,2,15,22,5,20
1,5,10,3,4,1,1,13
1,3,8,2,32,20,2,30
1,4,4,1,20,20,1,13
0,0,9,3,119,19,1,3
1,3,10,3,9,7,6,18
1,5,5,1,4,1,2,19
1,2,10,3,33,7,1,17
0,0,5,1,30,11,2,21
1,0,11,3,24,15,2,5
1,0,5,1,22,15,10,28
0,3,7,2,26,0,1,26
1,2,12,0,4,13,1,12
0,1,4,1,16,13,4,24
1,1,10,3,16,22,2,30
1,0,3,1,19,13,6,5
1,4,7,2,8,6,4,13
0,5,4,1,72,17,1,28
1,5,4,1,15,0,1,28
1,1,10,3,24,19,1,30
1,4,11,3,5,12,7,16
0,6,5,1,33,9,1,20
1,2,3,1,20,7,2,14
1,1,9,3,15,21,2,4
1,4,5,1,10,12,3,18
1,0,12,0,5,19,6,3
0,4,2,0,9,7,6,23
1,0,6,2,2,8,3,4
1,6,4,1,36,16,1,1
1,6,8,2,6,22,12,12
0,0,7,2,7,13,15,23
0,0,2,0,26,17,1,26
1,5,12,0,19,13,3,29
1,5,6,2,85,11,1,9
0,6,6,2,25,9,3,17
1,6,4,1,35,20,1,8
0,2,3,1,17,21,1,14
1,3,7,2,30,16,2,26
1,1,3,1,7,22,5,27
0,3,5,1,8,14,18,3
0,2,9,3,30,12,1,19
1,4,9,3,7,0,6,21
1,0,7,2,6,14,20,30
1,5,8,2,25,21,7,11
0,0,5,1,15,19,6,21
0,6,1,0,6,5,1,28
0,6,5,1,34,5,1,13
1,1,9,3,20,5,1,11
0,0,6,2,37,10,1,25
0,0,10,3,72,17,1,1
0,3,5,1,5,18,27,24
1,5,4,1,24,13,2,28
1,4,4,1,15,13,2,6
0,3,5,1,2,8,8,24
1,6,2,0,25,14,1,25
0,6,12,0,7,23,2,30
0,6,5,1,50,22,2,27
1,4,11,3,3,9,5,16
1,5,6,2,54,12,3,2
0,5,12,0,6,0,4,1
1,0,3,1,23,15,1,5
1,4,3,1,10,8,11,23
1,4,9,3,3,21,2,14
0,5,1,0,16,7,1,13
1,6,5,1,49,10,1,13
1,6,9,3,73,13,1,30
1,0,5,1,39,8,2,7
1,6,2,0,27,15,6,25
1,3,11,3,31,6,1,22
0,0,5,1,61,18,2,21
0,2,3,1,20,9,2,28
0,4,6,2,3,20,9,8
1,4,5,1,19,8,9,25
0,1,4,1,34,14,1,24
1,3,4,1,11,10,6,19
0,5,11,3,6,6,5,10
1,5,4,1,3,18,21,21
1,4,2,0,5,22,2,16
1,3,9,3,11,10,9,13
1,2,5,1,150,18,1,30
1,2,3,1,20,20,1,7
1,3,7,2,7,16,13,5
1,0,5,1,11,1,4,21
1,2,11,3,36,16,1,7
0,6,10,3,4,17,30,7
1,5,6,2,33,10,1,16
1,2,4,1,46,7,1,18
0,3,11,3,13,18,11,15
0,4,6,2,20,22,4,15
0,1,5,1,3,14,14,29
0,0,7,2,18,23,5,16
1,5,7,2,2,8,11,7
1,0,10,3,14,9,8,1
0,0,10,3,4,2,5,1
0,1,4,1,32,8,2,10
1,0,7,2,4,0,7,23
0,2,9,3,12,12,4,19
1,5,8,2,21,15,7,18
0,1,5,1,9,7,9,1
0,6,6,2,13,19,23,24
0,5,8,2,69,17,1,11
1,6,11,3,70,22,1,18
1,6,6,2,71,8,1,3
0,1,11,3,9,22,4,13
0,1,12,0,3,0,2,4
0,5,3,1,5,20,11,17
1,2,8,2,25,18,15,29
1,6,2,0,30,19,1,4
1,6,4,1,141,2,1,15
0,5,12,0,9,5,2,15
1,1,4,1,2,12,15,10
0,6,10,3,30,20,2,28
0,3,9,3,70,17,1,6
0,0,8,2,13,16,12,6
1,0,6,2,14,7,1,18
1,0,5,1,66,19,1,7
1,5,8,2,56,23,2,18
1,1,5,1,43,11,2,29
1,3,4,1,14,10,2,26
0,5,6,2,47,14,2,2
0,0,7,2,22,19,4,9
0,6,6,2,34,15,3,17
1,5,9,3,41,19,2,15
1,3,11,3,27,12,1,29
1,5,11,3,16,13,2,10
0,6,2,0,81,17,1,4
1,5,11,3,25,18,5,3
0,6,6,2,55,10,1,3
0,6,9,3,47,3,1,30
1,3,11,3,9,19,16,29
0,3,7,2,10,19,18,19
0,2,10,3,42,14,1,3
0,5,2,0,7,7,4,10
1,4,8,2,123,10,1,10
0,1,3,1,23,18,2,13
0,0,8,2,31,0,1,13
1,3,6,2,35,16,3,28
0,1,7,2,12,19,14,10
1,0,1,0,10,12,10,8
1,4,6,2,9,9,5,29
1,6,1,0,33,2,1,14
1,4,3,1,2,10,7,23
1,1,7,2,4,9,6,17
0,4,10,3,28,10,2,26
1,2,8,2,113,15,1,29
1,4,5,1,7,4,1,25
0,6,12,0,10,17,2,30
0,5,9,3,110,8,1,22
0,4,9,3,21,10,2,7
0,6,7,2,31,22,4,15
1,1,10,3,28,18,8,2
1,6,9,3,23,22,1,23
0,0,2,0,3,6,2,12
0,3,7,2,26,21,1,19
1,5,10,3,20,17,9,27
1,0,7,2,16,22,4,16
1,6,4,1,7,2,1,22
0,4,8,2,4,13,15,3
1,4,2,0,4,1,1,2
0,2,1,0,9,17,6,31
1,5,7,2,19,19,12,7
0,6,5,1,13,18,16,27
1,5,6,2,8,17,38,30
0,0,6,2,7,6,1,11
0,1,8,2,25,17,5,7
1,4,5,1,7,5,2,18
0,3,3,1,28,15,1,8
0,5,10,3,31,10,1,6
0,2,7,2,21,8,5,4
1,3,11,3,9,13,3,29
0,1,1,0,8,23,4,16
0,0,7,2,31,16,4,30
1,1,4,1,6,9,20,24
1,3,9,3,38,12,3,20
1,5,11,3,10,17,4,24
0,1,7,2,4,15,9,24
1,4,7,2,17,13,7,6
1,1,10,3,11,13,9,9
0,4,4,1,17,17,9,27
0,5,9,3,52,19,4,8
1,6,6,2,22,20,7,3
1,6,5,1,30,21,1,6
1,3,8,2,24,11,2,9
0,3,11,3,26,17,1,8
1,6,3,1,28,8,1,18
1,6,6,2,19,13,11,10
0,2,9,3,32,14,2,12
1,0,7,2,100,13,2,23
0,1,12,0,5,22,15,4
1,1,2,0,26,16,3,6
1,3,9,3,79,17,4,13
0,2,1,0,5,19,8,31
0,1,10,3,5,1,1,2
1,5,9,3,21,14,12,1
0,0,4,1,8,20,7,23
1,4,7,2,35,17,6,20
1,1,7,2,4,16,5,17
0,0,8,2,10,16,28,20
1,6,11,3,8,21,8,11
0,3,6,2,13,4,1,21
1,1,7,2,18,10,5,3
1,6,6,2,34,17,5,10
1,5,10,3,19,17,16,27
1,6,4,1,50,18,2,8
1,5,8,2,38,7,1,4
1,4,9,3,2,17,26,14
0,2,9,3,9,0,3,26
1,6,1,0,2,17,6,21
1,3,9,3,19,21,3,6
1,3,11,3,38,6,1,1
1,2,6,2,21,14,3,27
0,3,10,3,2,22,10,11
1,6,7,2,21,12,16,22
0,5,11,3,26,13,2,3
1,6,5,1,78,0,3,13
0,3,9,3,4,20,7,13
1,3,11,3,29,12,2,22
0,4,6,2,12,13,16,22
0,6,10,3,29,16,2,7
1,0,9,3,34,12,2,10
0,3,7,2,13,23,6,12
0,0,8,2,15,14,10,6
1,2,7,2,3,14,10,25
1,2,5,1,9,6,10,9
1,3,10,3,53,13,2,18
1,4,8,2,13,20,20,3
1,5,6,2,77,13,1,23
1,0,9,3,59,15,3,24
0,1,5,1,4,8,26,1
1,0,9,3,33,17,5,3
0,1,10,3,8,0,4,9
1,2,4,1,76,19,1,11
1,1,10,3,36,17,2,9
1,6,6,2,32,19,7,3
1,6,2,0,9,20,2,4
1,5,6,2,48,11,3,23
0,6,6,2,72,19,1,17
0,6,7,2,54,9,1,8
0,2,6,2,2,20,12,6
1,2,11,3,25,6,1,21
1,0,8,2,86,12,1,6
1,1,5,1,65,8,1,29
0,6,9,3,8,20,13,9
0,5,5,1,20,15,6,26
1,3,3,1,14,13,2,22
0,2,12,0,7,22,4,19
1,6,1,0,10,2,3,7
0,2,8,2,4,16,26,15
1,2,12,0,9,23,1,19
0,5,8,2,14,6,10,18
1,6,3,1,30,22,1,11
1,4,1,0,6,16,7,5
0,0,10,3,16,10,24,8
0,4,5,1,2,10,5,18
1,6,8,2,23,15,2,5
1,0,12,0,10,1,2,17
1,2,9,3,14,10,1,26
