rideable_type,member_casual,day_of_week,month,season,trip_duration_mins,hour,day_of_month
0,1,2,11,3,25,17,21
1,0,0,9,3,135,9,3
1,0,4,7,2,13,9,20
1,0,2,7,2,6,11,11
0,0,0,9,3,55,10,3
1,0,3,10,3,33,12,11
1,1,5,6,2,32,5,9
0,0,2,7,2,4,17,25
0,1,0,12,0,12,13,24
1,0,5,9,3,38,15,8
0,0,2,4,1,11,20,25
0,0,1,5,1,112,12,22
0,1,3,5,1,23,0,24
1,1,5,11,3,35,16,17
1,1,1,7,2,13,1,24
0,0,1,5,1,38,16,15
1,0,3,8,2,32,16,30
0,1,3,7,2,22,5,26
0,0,4,8,2,5,4,17
1,1,0,1,0,16,19,22
0,1,6,10,3,3,20,14
0,0,0,6,2,36,18,18
1,1,0,7,2,36,9,23
0,0,1,4,1,14,7,3
1,1,5,9,3,3,5,15
0,0,1,12,0,15,7,25
1,1,6,7,2,24,21,22
0,0,3,8,2,14,4,16
1,1,6,6,2,3,7,24
1,0,6,6,2,25,19,10
1,1,4,1,0,21,7,5
0,0,5,11,3,87,22,24
0,1,1,5,1,5,10,1
1,0,6,5,1,28,20,6
0,0,6,9,3,54,12,2
1,1,3,6,2,27,14,14
0,1,4,9,3,12,20,7
0,1,2,9,3,16,16,26
0,1,4,1,0,27,18,19
0,1,4,8,2,140,11,10
0,0,0,10,3,11,3,1
1,1,2,5,1,17,11,30
1,1,0,9,3,28,18,17
1,1,5,6,2,25,22,16
1,0,4,4,1,8,21,20
1,0,0,9,3,2,21,24
1,1,4,1,0,15,7,5
0,1,1,10,3,26,14,23
0,0,2,3,1,8,16,14
1,1,0,7,2,47,20,9
0,0,6,4,1,55,15,15
1,0,2,7,2,23,11,25
0,1,1,3,1,29,15,6
0,0,3,2,0,10,23,8
0,1,0,9,3,16,19,3
1,0,2,8,2,36,10,8
0,1,1,4,1,27,15,17
1,1,6,7,2,41,19,29
1,1,0,9,3,50,6,24
0,0,1,5,1,61,10,29
1,1,2,3,1,26,18,21
1,1,4,12,0,18,17,21
